Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13,73.120003,73.220001,72.879997,73.099998,67.805573,1056200
2019-06-14,72.849998,72.879997,72.650002,72.779999,67.508759,2140700
2019-06-17,71.949997,72.089996,71.849998,71.940002,67.570755,1088000
2019-06-18,72.440002,73.029999,72.440002,72.870003,68.444283,7473400
2019-06-19,72.970001,73.260002,72.760002,73.110001,68.669708,5488500
2019-06-20,73.970001,74.070000,73.480003,73.940002,69.449295,1740500
2019-06-21,73.699997,74.000000,73.660004,73.739998,69.261421,1718300
2019-06-24,73.830002,73.889999,73.660004,73.660004,69.186302,1265800
2019-06-25,73.669998,73.699997,73.019997,73.070000,68.632118,3736200
2019-06-26,73.320000,73.440002,73.080002,73.120003,68.679085,2500700
2019-06-27,73.309998,73.470001,73.239998,73.400002,68.942085,1761300
2019-06-28,73.610001,73.779999,73.500000,73.709999,69.233246,2653100
2019-07-01,74.500000,74.639999,74.040001,74.290001,69.778030,2812100
2019-07-02,74.290001,74.470001,74.150002,74.470001,69.947090,3807100
2019-07-03,74.660004,74.940002,74.580002,74.940002,70.388550,863400
2019-07-05,74.510002,74.680000,74.120003,74.589996,70.059807,2026200
2019-07-08,74.230003,74.339996,74.129997,74.199997,69.693497,2741600
2019-07-09,73.809998,74.239998,73.800003,74.160004,69.655937,1650600
2019-07-10,74.519997,74.760002,74.330002,74.540001,70.012848,3731800
2019-07-11,74.709999,74.730003,74.389999,74.629997,70.097374,2890000
2019-07-12,74.699997,74.849998,74.580002,74.849998,70.304024,792200
2019-07-15,74.989998,74.989998,74.809998,74.910004,70.360382,1982800
2019-07-16,74.860001,74.930000,74.580002,74.629997,70.097374,1942500
2019-07-17,74.650002,74.720001,74.300003,74.300003,69.787430,1337900
2019-07-18,74.160004,74.650002,74.050003,74.650002,70.116165,1258100
2019-07-19,74.769997,74.809998,74.220001,74.220001,69.712280,2375600
2019-07-22,74.389999,74.480003,74.239998,74.400002,69.881348,1644700
2019-07-23,74.739998,74.839996,74.510002,74.809998,70.266441,1554300
2019-07-24,74.629997,75.059998,74.629997,75.050003,70.491875,1270300
2019-07-25,74.949997,74.949997,74.400002,74.489998,69.965874,2079000
2019-07-26,74.779999,74.949997,74.720001,74.860001,70.313400,1554300
2019-07-29,74.919998,74.940002,74.669998,74.809998,70.266441,1187600
2019-07-30,74.320000,74.500000,74.190002,74.449997,69.928307,1605000
2019-07-31,74.470001,74.519997,73.129997,73.760002,69.280220,3977300
2019-08-01,73.730003,74.470001,72.900002,73.160004,68.716652,4611300
2019-08-02,72.870003,72.889999,72.139999,72.510002,68.106140,3615500
2019-08-05,71.320000,71.320000,69.919998,70.370003,66.096115,6066100
2019-08-06,70.959999,71.230003,70.500000,71.169998,66.847519,13946200
2019-08-07,70.540001,71.529999,70.150002,71.419998,67.082344,4399700
2019-08-08,71.750000,72.550003,71.650002,72.470001,68.068565,4058700
2019-08-09,72.269997,72.389999,71.669998,71.980003,67.608330,2800800
2019-08-12,71.610001,71.739998,71.029999,71.169998,66.847519,2750800
2019-08-13,71.059998,72.470001,70.980003,72.209999,67.824356,2796600
2019-08-14,70.970001,71.070000,70.040001,70.150002,65.889473,4146700
2019-08-15,70.330002,70.470001,69.820000,70.279999,66.011566,3528000
2019-08-16,70.680000,71.320000,70.680000,71.239998,66.913284,2233300
2019-08-19,71.959999,72.059998,71.769997,71.839996,67.476830,1769200
2019-08-20,71.779999,71.910004,71.459999,71.459999,67.119904,1591000
2019-08-21,72.120003,72.220001,71.930000,72.050003,67.674072,1109900
2019-08-22,72.139999,72.269997,71.559998,71.940002,67.570755,1921100
2019-08-23,71.599998,72.099998,70.250000,70.440002,66.161858,3962000
2019-08-26,71.059998,71.139999,70.680000,71.089996,66.772369,2992200
